myPosition	artist	projectTitle	producer	director	year	vidLink	picThumbnail	credits	featuredHome
Content Producer	A$AP Rocky 	Rolling Loud Festival, Thailand	Green Wall Designs	Treatment Studios, Lou Levin, Playlab Inc	2024			TRUE	0
Content Producer	Busta Rhymes "Dragon Season" Medley	MTV EMAs	Green Wall Designs	Paramount & Tawbox	2024			TRUE	0
Content Producer	Le Sserafim "Crazy" 	MTV EMAs	Green Wall Designs	Paramount & Tawbox	2024			TRUE	0
Content Producer	DragonForce - Medley Performance	Supercell	Green Wall Designs	Supercell & Jannica Routamo	2024			TRUE	0
Content Producer	SuperFest 2024 - Brawl Stars	Supercell	Green Wall Designs	Supercell & Jannica Routamo	2024			TRUE	0
Content Producer	SuperFest 2024 - Clash Royale	Supercell	Green Wall Designs	Supercell & Jannica Routamo	2024			TRUE	0
Content Producer	SuperFest 2024 - Clash of Clans	Supercell	Green Wall Designs	Supercell & Jannica Routamo	2024			TRUE	0
Content Producer	Cyndi Lauper "Iko"	Farewell Tour	Green Wall Designs	Brian Burke Creative	2024			TRUE	0
Content Producer	Eminem "Houdini' & Jelly Roll "Save Me"	MTV Video Music Awards Performance	Green Wall Designs	Visual Nosie Creative	2024			TRUE	0
Content Producer	Benson Boone "Beautiful Things"	MTV Video Music Awards Performance	Green Wall Designs	Visual Nosie Creative	2024			TRUE	0
Content Producer	Benjamin Ingrosso "Look Who's Laughing Now", "Kite", "Honey Boy"	Eurovision Song Contest	Green Wall Designs	Dennis Brochner	2024			TRUE	0
Content Producer	ESC24	Eurovision Song Contest	Green Wall Designs	Sveriges Television (SVT)	2024			TRUE	0
Content Producer	Lainey Wilson	People's Choice Awards	Green Wall Designs	Harriet Cuddeford & Den of Thieves	2024			TRUE	0
Content Producer	A$AP Rocky	Le Gala des Pièces Jaune	Green Wall Designs	Ed Walker & Kyle Goldberg	2024			TRUE	0
Content Manager 	Disney+	Dancing With The Stars Cold Open Disney 100 (Season 32 Episode 4)	Silent Partners Studio	One Day Productions	2023			TRUE	0
Content Manager 	Disney+	Dancing With The Stars Cold Open Premier (Season 32 Episode 1)	Silent Partners Studio	One Day Productions	2023			TRUE	0
Content Manager 	Karol G	Mañana Será Bonito Stadium Tour	Silent Partners Studio	The Squared Division	2023			TRUE	0
Content Manager 	Harry Styles	Love On Tour Stadium Tour 	Silent Partners Studio	Molly Hawkins & Silent House	2023			TRUE	0
Content Manager 	P!NK	I Heart Radio Awards "Icon Award" Medley Performance with Kelly Clarkson, Pat Benatar & Neil Giraldo 	Silent Partners Studio	Baz Halpin & Silent House	2023			TRUE	0
Content Manager 	P!NK	I Heart Radio Awards "Trustfall" Performance	Silent Partners Studio	Baz Halpin & Silent House	2023			TRUE	0
Content Manager 	Lil Nas X	Lollapalooza Chile "Batty Boy" & "Industry Baby"	Silent Partners Studio	The Squared Division	2023			TRUE	0
Content Manager 	Harry Styles	65th Annual Grammy Awards Performance 	Silent Partners Studio	Molly Hawkins	2023			TRUE	0
Content Manager 	The Kid Laroi	All Star Game AT&T Performance	Silent Partners Studio	Daniel Humphreys 	2023			TRUE	0
Content Manager 	David Guetta & Bebe Rexha	MTV EMA's "I'm Good" Performance	Silent Partners Studio	The Squared Division	2022			TRUE	0
Content Manager 	David Guetta & Bebe Rexha	AMA's "I'm Good" Performance	Silent Partners Studio	The Squared Division	2022			TRUE	0
Content Manager 	The Kid Laroi	NBA TNT American Express Road Show	Silent Partners Studio	Stu Dingley 	2022			TRUE	0
Content Manager 	Eminem & Snoop Dogg	MTV Video Music Awards Metaverse Performance	Silent Partners Studio	Paul Caslin, The Den of Thieves & Visual Noise	2022			TRUE	0
Content Manager 	RIOT Games	Behind the Scenes of Star Guardians with Porter Robinson	Silent Partners Studio	Reuel Kim	2022			TRUE	0
Content Manager 	Google	I/O Conference Mija Performance 	Silent Partners Studio	Done & Dusted	2022			TRUE	0
Content Manager 	Harry Styles	European and American Love On Tour	Silent Partners Studio	Molly Hawkins & Silent House	2022			TRUE	0
Content Manager 	Harry Styles	Harry's Home Coachella Performance 2022	Silent Partners Studio	Molly Hawkins & Silent House	2022			TRUE	0
Content Manager 	Tik Tok	Camila Cabello "Familia" Livestream	Silent Partners Studio	Charlotte Rutherford 	2022			TRUE	0
Content Manager 	Disney +	Pentatonix: Around the World for the Holidays	Silent Partners Studio	Sam Wrench & Done & Dusted	2022			TRUE	0
Content Manager 	RIOT Games	Valorrant Champions Tournament	Silent Partners Studio	JB Blot	2022			TRUE	0
Content Manager 	MTV	Movie & TV Awards: Greatest of All Time	Silent Partners Studio	Paul Caslin & Den of Thieves	2020			TRUE	0
Content Manager 	SIA	Hey Boy	Silent Partners Studio	Jason Baum	2020			TRUE	0
Content Manager 	Katy Perry	Alibaba Singles Day	Silent Partners Studio	The Squared Division	2020			TRUE	0
Content Manager 	Billie Eilish 	Where Do We Go? Livestream	Silent Partners Studio	Tarik Mikou	2020			TRUE	0
